"Name","Instance Count","Size (bytes)"
"byte[ ]",40839,3689848
"java.lang.String",25776,618624
"java.lang.Object",10897,174352
"java.lang.StringBuilder",5399,129576
"java.util.HashMap$Node",5301,169632
"java.lang.management.MemoryUsage",5208,249984
"java.lang.Object[ ]",4333,240400
"java.util.concurrent.ConcurrentHashMap$Node",4033,129056
"int[ ]",3770,1348608
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",3087,172872
"java.util.ArrayList$Itr",2305,73760
"java.lang.Class",2052,251096
"java.lang.Class[ ]",1921,51784
"sun.util.locale.BaseLocale",1517,48544
"sun.util.locale.BaseLocale$Key",1498,47936
"sun.util.locale.LocaleObjectCache$CacheEntry",1490,71520
"char[ ]",1312,246336
"java.lang.invoke.MethodType",1282,51280
"java.lang.invoke.MemberName",1023,49104
"java.lang.String[ ]",1013,47664
"com.jprofiler.agent.util.n",1010,88880
"java.lang.ref.SoftReference",974,38960
"long[ ]",912,145824
"sun.util.locale.LanguageTag",768,30720
"sun.util.locale.InternalLocaleBuilder",765,30600
"java.util.Locale",764,24448
"sun.util.locale.ParseStatus",764,18336
"sun.util.locale.StringTokenIterator",764,30560
"java.nio.HeapCharBuffer",670,37520
"java.util.HashMap$Node[ ]",600,94976
"java.util.HashMap",587,28176
"jdk.internal.org.objectweb.asm.ByteVector",586,14064
"java.nio.DirectByteBufferR",511,36792
"java.lang.ref.WeakReference",464,14848
"java.lang.reflect.Method",455,40040
"java.util.ArrayList",454,10896
"sun.nio.fs.WindowsPath",413,16520
"sun.nio.fs.WindowsPathParser$Result",412,9888
"java.lang.invoke.LambdaForm$Name",407,13024
"sun.nio.fs.WindowsFileAttributes",403,25792
"java.lang.invoke.ResolvedMethodName",396,9504
"sun.nio.fs.WindowsPath$WindowsPathWithAttributes",396,19008
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",391,12512
"java.util.KeyValueHolder",390,9360
"java.lang.module.ModuleDescriptor$Exports",361,8664
"java.util.ImmutableCollections$Set12$1",347,8328
"java.util.regex.Pattern$GroupHead",342,8208
"java.util.regex.Pattern$GroupTail",342,8208
"jdk.internal.math.FDBigInteger",341,10912
"jdk.internal.org.objectweb.asm.Label",337,18872
"java.lang.Integer",312,4992
"java.util.ImmutableCollections$Set12",310,7440
"java.util.ImmutableCollections$SetN$SetNIterator",298,7152
"java.util.HashSet",292,4672
"java.util.Optional",286,4576
"java.lang.Long",270,6480
"java.lang.invoke.LambdaForm$Name[ ]",259,12256
"java.net.URL",250,16000
"boolean[ ]",245,64688
"java.util.Hashtable$Entry",239,7648
"java.util.regex.Pattern$BitClass",237,3792
"java.util.regex.Pattern$CharProperty",232,5568
"jdk.internal.org.objectweb.asm.MethodWriter",219,49056
"java.util.concurrent.ConcurrentHashMap",211,13504
"java.util.ImmutableCollections$SetN",190,4560
"java.lang.invoke.MethodHandles$Lookup",189,6048
"java.lang.ref.ReferenceQueue$Lock",189,3024
"java.lang.ref.ReferenceQueue",187,5984
"java.lang.reflect.Field",186,13392
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",185,8880
"java.lang.ref.SoftReference[ ]",182,12376
"java.io.File",175,5600
"jdk.internal.module.ServicesCatalog$ServiceProvider",174,4176
"java.util.concurrent.atomic.AtomicInteger",173,2768
"java.util.regex.Pattern$CharPredicate$$Lambda$57.1110623531",162,3888
"com.jprofiler.agent.util.a.a.b.h$m",160,10240
"java.util.concurrent.atomic.AtomicReferenceArray",160,2560
"java.util.concurrent.locks.ReentrantLock$NonfairSync",160,5120
"java.lang.reflect.Constructor",152,12160
"jdk.internal.org.objectweb.asm.AnnotationWriter",150,7200
"java.util.Collections$UnmodifiableSet",147,2352
"java.lang.Class$ReflectionData",137,8768
"java.util.regex.IntHashSet[ ]",137,2192
"com.jprofiler.agent.probe.structures.n",135,6480
"java.lang.module.ModuleDescriptor$Requires",134,4288
"jdk.internal.org.objectweb.asm.SymbolTable$Entry[ ]",131,108528
"java.lang.Character",128,2048
"java.lang.invoke.LambdaForm$NamedFunction",127,4064
"java.util.OptionalInt",121,2904
"java.util.concurrent.ConcurrentHashMap$Node[ ]",121,45456
"java.util.stream.FindOps$FindSink$OfInt",120,2880
"java.util.stream.IntPipeline$9",120,7680
"java.util.stream.IntPipeline$9$1",120,2880
"java.util.stream.IntPipeline$Head",120,6720
"java.util.Formatter$Flags",117,1872
"java.util.regex.Pattern$Node[ ]",117,3128
"java.lang.invoke.DirectMethodHandle",115,3680
"java.lang.Byte",114,1824
"java.util.regex.Pattern$BmpCharProperty",113,2712
"java.lang.reflect.Constructor[ ]",111,2664
"jdk.internal.org.objectweb.asm.Frame",111,5328
"java.util.Formatter$FormatSpecifier",107,4280
"java.lang.invoke.MethodTypeForm",105,3360
"char[ ][ ]",103,2472
"java.security.CodeSource",102,4080
"jdk.internal.org.objectweb.asm.SymbolTable",102,6528
"java.util.regex.Pattern$Branch",101,3232
"java.util.regex.Pattern$BranchConn",101,1616
"jdk.internal.org.objectweb.asm.ClassWriter",100,13600
"java.util.jar.JarFile$1",99,1584
"java.security.Provider$ServiceKey",97,2328
"java.security.SecureClassLoader$1",97,2328
"java.security.SecureClassLoader$CodeSourceKey",97,1552
"java.lang.invoke.LambdaForm",92,4416
"com.jprofiler.agent.probe.structures.n[ ]",91,2184
"java.util.Vector",90,2880
"java.lang.invoke.LambdaFormEditor$Transform",89,4984
"java.util.jar.JarFile$JarFileEntry",89,8544
