"Time [s]","Process load","System load"
0.0,0,0
1.0,0.77,12.08
2.0,0.4,9.77
3.0,0,5.85
4.0,0,7.41
5.01,0,5.86
6.01,0,4.29
7.01,0,3.11
8.01,0,3.89
9.01,0,1.54
10.01,0,11.71
11.01,0,1.95
12.02,0,5.86
13.02,0,5.85
14.02,0,6.23
15.02,0,5.84
16.02,0.39,6.64
17.02,0,4.3
18.02,0.77,6.24
19.02,0,7.02
20.03,0.37,7.41
21.03,0,7.01
22.03,0.8,8.6
23.03,0,7.02
24.03,0.37,5.06
25.03,0,7.81
26.03,0.39,7.01
27.03,0,4.69
28.04,0.39,5.84
29.04,0,0.77
30.04,0.77,6.63
31.04,0,8.19
32.04,0.37,5.07
33.04,0,5.46
34.05,1.16,5.8
35.05,0,15.62
36.05,0.39,4.69
37.05,0,11.7
38.08,0.75,4.99
39.08,0,4.66
40.08,1.17,11.31
41.08,0.4,6.25
42.08,0.37,3.9
43.08,0,1.97
44.09,0.39,2.31
45.09,0,3.52
46.09,0.39,12.47
47.09,0,3.89
48.1,0.37,1.57
49.1,0,4.67
50.1,0.39,6.24
51.1,0,0.77
52.11,9.63,10.82
53.11,0,0.39
54.12,0.39,1.14
55.12,0,1.17
56.14,0.76,1.15
57.14,0,2.35
58.15,0.39,1.53
59.15,0,1.17
60.15,1.53,2.33
61.16,0,0.39
62.17,0,4.67
63.17,0.39,2.7
64.17,0.39,1.94
65.18,0.37,0.77
66.19,0.79,1.92
67.19,0.37,3.12
68.19,0,0
69.21,0.39,5.39
70.21,0.76,1.53
71.22,0.4,1.95
72.22,0.37,1.17
73.22,0,1.17
74.22,0.39,2.34
75.22,0,0.77
76.22,0.4,1.95
77.23,0,6.25
78.23,0.37,2.34
79.23,0,7.02
80.23,1.17,2.35
81.23,0,1.57
82.23,1.94,5.83
83.23,0,3.12
84.24,0.39,2.71
85.24,0,0.8
86.25,0.36,1.13
87.25,0,0.4
88.26,0.39,2.72
89.26,0.77,2.34
90.27,0.78,3.47
91.27,0,0.77
92.27,0.37,1.17
93.27,0,2.35
94.28,0.77,4.3
95.28,0,19.88
96.28,0.4,1.97
97.28,0,3.12
98.29,0.39,2.69
99.29,0,0.77
100.3,0.37,0.39
101.3,0,1.95
102.3,0.4,6.25
103.3,0,2.71
104.33,0.75,10.68
105.33,0,6.24
106.33,0.77,7.79
107.33,0,2.74
108.33,0.79,5.06
109.33,0,2.72
110.34,0.37,0.77
111.34,0,5.46
112.35,1.55,5.78
113.36,0,3.49
114.36,0.77,3.5
115.36,0,3.9
116.36,0.77,40.62
117.36,0,18.33
118.38,0.78,3.87
119.38,0,2.71
120.38,0.77,7.8
121.38,0,3.49
122.39,0.77,5.05
123.39,0.39,3.52
124.39,0.77,8.96
125.39,0.4,7.42
126.39,0.37,3.51
127.39,0.4,3.5
128.4,0.76,3.09
129.41,0,2.34
130.42,0.76,18.94
131.42,0,34.71
132.42,0.79,8.21
133.42,0,19.48
134.42,0.37,9.35
135.42,0,14.05
136.43,0.4,7.05
137.43,0,5.45
138.44,1.15,6.13
139.45,0,2.74
140.45,1.17,4.67
141.45,0,12.88
142.45,0.77,4.28
143.45,0,0.77
144.45,0.37,7.02
145.46,0,4.7
146.46,0.4,7.02
147.46,0,3.52
148.46,1.16,8.14
149.46,0,7.02
150.47,0.77,3.5
151.47,0,8.2
152.47,0.77,7.01
153.47,0,3.89
154.48,0.39,6.63
155.48,0,5.47
156.49,0.39,4.21
157.49,0,3.51
158.5,0.77,5.82
159.5,0,2.35
160.5,0.77,6.23
161.5,0,1.94
162.5,0.4,5.07
