"Time [s]","Total number of classes","Non-CPU-profiled classes","CPU-profiled classes"
0.0,1549,1536,13
1.0,1550,1537,13
2.0,1550,1537,13
3.0,1550,1537,13
4.0,1550,1537,13
5.01,1550,1537,13
6.01,1550,1537,13
7.01,1552,1539,13
8.01,1552,1539,13
9.01,1552,1539,13
10.01,1552,1539,13
11.01,1552,1539,13
12.02,1552,1539,13
13.02,1552,1539,13
14.02,1552,1539,13
15.02,1552,1539,13
16.02,1552,1539,13
17.02,1552,1539,13
18.02,1552,1539,13
19.02,1552,1539,13
20.03,1552,1539,13
21.03,1552,1539,13
22.03,1552,1539,13
23.03,1552,1539,13
24.03,1552,1539,13
25.03,1552,1539,13
26.03,1552,1539,13
27.03,1552,1539,13
28.04,1552,1539,13
29.04,1552,1539,13
30.04,1552,1539,13
31.04,1552,1539,13
32.04,1552,1539,13
33.04,1552,1539,13
34.05,1552,1539,13
35.05,1552,1539,13
36.05,1552,1539,13
37.05,1552,1539,13
38.08,1552,1539,13
39.08,1552,1539,13
40.08,1552,1539,13
41.08,1559,1546,13
42.08,1559,1546,13
43.08,1559,1546,13
44.09,1559,1546,13
45.09,1559,1546,13
46.09,1559,1546,13
47.09,1559,1546,13
48.1,1559,1546,13
49.1,1559,1546,13
50.1,1559,1546,13
51.1,1569,1554,15
52.11,1824,1807,17
53.11,1824,1807,17
54.12,1824,1807,17
55.12,1826,1809,17
56.14,1826,1809,17
57.14,1826,1809,17
58.15,1826,1809,17
59.15,1826,1809,17
60.15,1826,1809,17
61.16,1826,1809,17
62.17,1826,1809,17
63.17,1826,1809,17
64.17,1826,1809,17
65.18,1826,1809,17
66.19,1827,1809,18
67.19,1827,1809,18
68.19,1827,1809,18
69.21,1827,1809,18
70.21,1827,1809,18
71.22,1828,1810,18
72.22,1828,1810,18
73.22,1828,1810,18
74.22,1828,1810,18
75.22,1828,1810,18
76.22,1828,1810,18
77.23,1828,1810,18
78.23,1828,1810,18
79.23,1828,1810,18
80.23,1828,1810,18
81.23,1828,1810,18
82.23,1834,1815,19
83.23,1834,1815,19
84.24,1834,1815,19
85.24,1834,1815,19
86.25,1834,1815,19
