"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"java.util.Scanner.nextInt",41913171,1552339,27
"java.util.Scanner.nextLine",7505653,1250942,6
"java.sql.DriverManager.getConnection",166145,20768,8
"java.io.PrintStream.printf",21682,747,29
"java.sql.Connection.close",20885,2610,8
"iiitd.oopdProject.Menu.display",7223,7223,1
"java.sql.Statement.executeQuery",3935,655,6
"java.sql.Connection.getMetaData",2615,2615,1
"java.io.PrintStream.println",2469,32,76
"java.util.Scanner.<init>",2406,300,8
"java.lang.Float.toString",2229,743,3
"java.sql.Statement.execute",1971,1971,1
"java.lang.StringBuilder.append(java.lang.String)",1440,24,59
"iiitd.oopdProject.DatabaseConnector.printSelectedRestaurant",1305,1305,1
"java.sql.ResultSet.getString",974,19,50
"java.lang.Math.acos",446,446,1
"iiitd.oopdProject.Tracking.track",319,319,1
"java.io.PrintStream.print",280,46,6
"iiitd.oopdProject.Payment.paymentMain",223,223,1
"iiitd.oopdProject.Order.makeOrder",213,213,1
"java.sql.ResultSet.next",161,6,25
"java.sql.Statement.close",157,26,6
"java.lang.Float.parseFloat",145,18,8
"java.lang.StringBuilder.append(double)",117,39,3
"iiitd.oopdProject.Order.printRestaurant",115,115,1
"java.lang.StringBuilder.<init>",105,4,24
"iiitd.oopdProject.Authentication.authenticate",104,104,1
"iiitd.oopdProject.DatabaseConnector.selectAllRestaurants",85,85,1
"java.lang.StringBuilder.append(float)",68,22,3
"iiitd.oopdProject.DatabaseConnector.createNewDatabase",67,67,1
"iiitd.oopdProject.DatabaseConnector.fetchPassword",67,33,2
"java.util.ArrayList.add",62,2,26
"java.lang.StringBuilder.toString",57,2,24
"java.util.ArrayList.get",56,0,86
"java.lang.Math.sin",54,27,2
"java.util.Random.nextInt",54,6,9
"java.lang.Float.valueOf",51,2,18
"java.sql.Connection.createStatement",50,7,7
"iiitd.oopdProject.DatabaseConnector.<init>",34,11,3
"java.lang.Double.valueOf",32,32,1
"java.util.ArrayList.size",32,0,59
"java.lang.StringBuilder.append(int)",30,4,7
"java.lang.String.equals",28,2,12
"iiitd.oopdProject.DatabaseConnector.get_latLonPrepTime",26,26,1
"iiitd.oopdProject.Payment.<init>",19,19,1
"java.util.ArrayList.<init>",18,2,8
"java.lang.Integer.valueOf",17,3,5
"iiitd.oopdProject.FoodOrdering.main",16,16,1
"iiitd.oopdProject.Tracking.<init>",14,14,1
"java.util.Random.<init>",14,14,1
"java.lang.Integer.toString",13,4,3
"java.sql.ResultSet.close",12,2,6
"iiitd.oopdProject.Authentication.<init>",11,11,1
"iiitd.oopdProject.DatabaseConnector.createUsersTable",11,11,1
"iiitd.oopdProject.Payment.distance",11,11,1
"java.lang.Integer.parseInt",7,7,1
"iiitd.oopdProject.Order.<clinit>",5,5,1
"java.lang.String.length",5,2,2
"iiitd.oopdProject.Order.<init>",4,4,1
"iiitd.oopdProject.Payment.round",3,3,1
"java.lang.Math.pow",3,3,1
"iiitd.oopdProject.Payment.deg2rad",2,0,5
"java.lang.Math.cos",2,0,3
"java.lang.Math.round",2,2,1
"iiitd.oopdProject.DatabaseConnector.get_db_name",1,0,2
"iiitd.oopdProject.DatabaseConnector.set_db_name",1,1,1
"iiitd.oopdProject.Payment.rad2deg",1,1,1
