"Time [s]","Committed size","Free size","Used size"
0.0,131072000,125952000,5120000
1.0,131072000,125952000,5120000
2.0,131072000,125952000,5120000
3.0,131072000,125952000,5120000
4.0,131072000,125952000,5120000
5.01,131072000,125952000,5120000
6.01,131072000,125952000,5120000
7.01,131072000,125952000,5120000
8.01,131072000,125952000,5120000
9.01,131072000,125952000,5120000
10.01,131072000,125952000,5120000
11.01,131072000,125952000,5120000
12.02,131072000,125952000,5120000
13.02,131072000,125952000,5120000
14.02,131072000,125952000,5120000
15.02,131072000,125952000,5120000
16.02,131072000,125952000,5120000
17.02,131072000,125952000,5120000
18.02,131072000,125952000,5120000
19.02,131072000,125952000,5120000
20.03,131072000,125952000,5120000
21.03,131072000,125952000,5120000
22.03,131072000,125952000,5120000
23.03,131072000,125952000,5120000
24.03,131072000,125952000,5120000
25.03,131072000,125952000,5120000
26.03,131072000,125952000,5120000
27.03,131072000,125952000,5120000
28.04,131072000,125952000,5120000
29.04,131072000,125952000,5120000
30.04,131072000,125952000,5120000
31.04,131072000,125952000,5120000
32.04,131072000,125952000,5120000
33.04,131072000,125952000,5120000
34.05,131072000,125952000,5120000
35.05,131072000,125952000,5120000
36.05,131072000,125952000,5120000
37.05,131072000,125952000,5120000
38.08,131072000,125952000,5120000
39.08,131072000,125952000,5120000
40.08,131072000,125952000,5120000
41.08,131072000,125952000,5120000
42.08,131072000,125952000,5120000
43.08,131072000,125952000,5120000
44.09,131072000,125952000,5120000
45.09,131072000,125952000,5120000
46.09,131072000,125952000,5120000
47.09,131072000,125952000,5120000
48.1,131072000,125952000,5120000
49.1,131072000,125952000,5120000
50.1,131072000,125952000,5120000
51.1,131072000,125952000,5120000
52.11,131072000,123051000,8021000
53.11,131072000,123051000,8021000
54.12,131072000,123051000,8021000
55.12,131072000,123051000,8021000
56.14,131072000,123051000,8021000
57.14,131072000,123051000,8021000
58.15,131072000,123051000,8021000
59.15,131072000,123051000,8021000
60.15,131072000,122880000,8192000
61.16,131072000,122880000,8192000
62.17,131072000,122880000,8192000
63.17,131072000,122880000,8192000
64.17,131072000,122880000,8192000
65.18,131072000,122880000,8192000
