"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
0.0,1,1,0,0,0
1.0,1,1,0,0,0
2.0,1,1,0,0,0
3.0,1,1,0,0,0
4.0,1,1,0,0,0
5.01,1,1,0,0,0
6.01,1,1,0,0,0
7.01,1,1,0,0,0
8.01,1,1,0,0,0
9.01,1,1,0,0,0
10.01,1,1,0,0,0
11.01,1,1,0,0,0
12.01,1,1,0,0,0
13.01,1,1,0,0,0
14.02,1,1,0,0,0
15.02,1,1,0,0,0
16.02,1,1,0,0,0
17.02,1,1,0,0,0
18.02,1,1,0,0,0
19.02,1,1,0,0,0
20.02,1,1,0,0,0
21.02,1,1,0,0,0
22.03,1,1,0,0,0
23.03,1,1,0,0,0
24.03,1,1,0,0,0
25.03,1,1,0,0,0
26.03,1,1,0,0,0
27.03,1,1,0,0,0
28.03,1,1,0,0,0
29.03,1,1,0,0,0
30.03,1,1,0,0,0
31.03,1,1,0,0,0
32.04,1,1,0,0,0
33.04,1,1,0,0,0
34.04,1,1,0,0,0
35.04,1,1,0,0,0
36.04,1,1,0,0,0
37.04,1,1,0,0,0
38.04,1,1,0,0,0
39.04,1,1,0,0,0
40.05,1,1,0,0,0
41.05,1,1,0,0,0
42.05,1,1,0,0,0
43.05,1,1,0,0,0
44.05,1,1,0,0,0
45.05,1,1,0,0,0
46.05,1,1,0,0,0
47.05,1,1,0,0,0
48.05,1,1,0,0,0
49.05,1,1,0,0,0
50.05,1,1,0,0,0
51.06,1,1,0,0,0
52.06,1,1,0,0,0
53.06,1,1,0,0,0
54.06,1,1,0,0,0
55.06,1,1,0,0,0
56.06,1,1,0,0,0
57.06,1,1,0,0,0
58.06,1,1,0,0,0
59.06,1,1,0,0,0
60.06,1,1,0,0,0
61.07,1,1,0,0,0
62.07,1,1,0,0,0
63.07,1,1,0,0,0
64.07,1,1,0,0,0
65.07,1,1,0,0,0
66.07,1,1,0,0,0
67.07,1,1,0,0,0
68.07,1,1,0,0,0
69.08,1,1,0,0,0
70.08,1,1,0,0,0
71.08,1,1,0,0,0
72.08,1,1,0,0,0
73.08,1,1,0,0,0
74.08,1,1,0,0,0
75.08,1,1,0,0,0
76.08,1,1,0,0,0
77.08,1,1,0,0,0
78.08,1,1,0,0,0
79.08,1,1,0,0,0
80.08,1,1,0,0,0
81.09,1,1,0,0,0
82.09,1,1,0,0,0
83.09,1,1,0,0,0
84.09,1,1,0,0,0
85.09,1,1,0,0,0
86.09,1,1,0,0,0
87.09,1,1,0,0,0
88.09,1,1,0,0,0
89.1,1,1,0,0,0
90.1,1,1,0,0,0
91.1,1,1,0,0,0
92.1,1,1,0,0,0
93.1,1,1,0,0,0
94.1,1,1,0,0,0
95.1,1,1,0,0,0
96.1,1,1,0,0,0
97.1,1,1,0,0,0
98.11,1,1,0,0,0
99.11,1,1,0,0,0
100.11,1,1,0,0,0
101.11,1,1,0,0,0
102.11,1,1,0,0,0
103.11,1,1,0,0,0
104.11,1,1,0,0,0
105.11,1,1,0,0,0
106.11,1,1,0,0,0
107.12,1,1,0,0,0
108.12,1,1,0,0,0
109.12,1,1,0,0,0
110.12,1,1,0,0,0
111.12,1,1,0,0,0
112.12,1,1,0,0,0
113.12,1,1,0,0,0
114.12,1,1,0,0,0
115.12,1,1,0,0,0
116.12,1,1,0,0,0
117.13,1,1,0,0,0
118.13,1,1,0,0,0
119.13,1,1,0,0,0
120.13,1,1,0,0,0
121.13,1,1,0,0,0
122.13,1,1,0,0,0
123.13,1,1,0,0,0
124.13,1,1,0,0,0
125.14,1,1,0,0,0
126.14,1,1,0,0,0
127.14,1,1,0,0,0
128.14,1,1,0,0,0
129.14,1,1,0,0,0
130.15,1,1,0,0,0
131.15,1,1,0,0,0
132.15,1,1,0,0,0
133.15,1,1,0,0,0
134.15,1,1,0,0,0
135.15,1,1,0,0,0
136.15,1,1,0,0,0
137.15,1,1,0,0,0
138.15,1,1,0,0,0
139.15,1,1,0,0,0
140.15,1,1,0,0,0
141.16,1,1,0,0,0
142.16,1,1,0,0,0
143.16,1,1,0,0,0
144.16,1,1,0,0,0
145.16,1,1,0,0,0
146.16,1,1,0,0,0
147.16,1,1,0,0,0
148.16,1,1,0,0,0
149.16,1,1,0,0,0
150.16,1,1,0,0,0
151.16,1,1,0,0,0
152.17,1,1,0,0,0
153.17,1,1,0,0,0
154.17,1,1,0,0,0
155.17,1,1,0,0,0
156.17,1,1,0,0,0
157.17,1,1,0,0,0
158.17,1,1,0,0,0
159.17,1,1,0,0,0
160.17,1,1,0,0,0
161.17,1,1,0,0,0
162.17,1,1,0,0,0
163.18,1,1,0,0,0
164.18,1,1,0,0,0
165.18,1,1,0,0,0
166.18,1,1,0,0,0
167.18,1,1,0,0,0
168.18,1,1,0,0,0
169.18,1,1,0,0,0
170.18,1,1,0,0,0
171.18,1,1,0,0,0
172.18,1,1,0,0,0
173.18,1,1,0,0,0
174.19,1,1,0,0,0
175.19,1,1,0,0,0
176.19,1,1,0,0,0
177.19,1,1,0,0,0
178.19,1,1,0,0,0
179.19,1,1,0,0,0
180.19,1,1,0,0,0
181.19,1,1,0,0,0
182.19,1,1,0,0,0
183.19,1,1,0,0,0
184.19,1,1,0,0,0
185.2,1,1,0,0,0
186.2,1,1,0,0,0
187.2,1,1,0,0,0
188.2,1,1,0,0,0
189.2,1,1,0,0,0
190.2,1,1,0,0,0
191.2,1,1,0,0,0
192.2,1,1,0,0,0
193.2,1,1,0,0,0
194.21,1,1,0,0,0
195.21,1,1,0,0,0
196.21,1,1,0,0,0
197.21,1,1,0,0,0
198.21,1,1,0,0,0
199.21,1,1,0,0,0
200.21,1,1,0,0,0
201.21,1,1,0,0,0
202.22,1,1,0,0,0
203.22,1,1,0,0,0
204.22,1,1,0,0,0
205.22,1,1,0,0,0
206.22,1,1,0,0,0
207.22,1,1,0,0,0
208.22,1,1,0,0,0
209.22,1,1,0,0,0
210.22,1,1,0,0,0
211.23,1,1,0,0,0
212.23,1,1,0,0,0
213.23,1,1,0,0,0
214.23,1,1,0,0,0
215.23,1,1,0,0,0
216.23,1,1,0,0,0
217.23,1,1,0,0,0
218.23,1,1,0,0,0
219.23,1,1,0,0,0
220.23,1,1,0,0,0
221.23,1,1,0,0,0
222.23,1,1,0,0,0
223.24,1,1,0,0,0
224.24,1,1,0,0,0
225.24,1,1,0,0,0
226.24,1,1,0,0,0
227.24,1,1,0,0,0
228.24,1,1,0,0,0
229.24,1,1,0,0,0
230.24,1,1,0,0,0
231.24,1,1,0,0,0
232.25,1,1,0,0,0
233.25,1,1,0,0,0
234.25,1,1,0,0,0
235.25,1,1,0,0,0
236.25,1,1,0,0,0
237.25,1,1,0,0,0
238.25,1,1,0,0,0
239.25,1,1,0,0,0
240.25,1,1,0,0,0
